artist_name_studio,artist_id
YELLOW MAGIC ORCHESTRA,762
The Babys,621
Gary Moore,219
Jimmy Somerville,302
Lita Ford,375
Long John Baldry,381
The Yardbirds,711
W.E.T.,748
Twisted Sister,735
Daniel Powter,132
The Flaming Lips,653
Sammy Hagar,542
The Trashmen,698
The Byrds,631
Madness,396
Jan & Dean,280
Overkill,473
k.d. lang,769
The Dave Brubeck Quartet,643
Voice Of The Beehive,746
The Youngbloods,712
Paul Carrack,481
Jeff Beck,287
Midge Ure,426
Brandi Carlile,82
Freddy Fender,213
Jerry Lee Lewis,292
Paul Mauriat,483
Men At Work,418
Ray LaMontagne,517
Heaven 17,249
Gavin DeGraw,221
Joshua Radin,329
Natalie Merchant,448
Barry Manilow,44
Mountain,440
Skillet,565
The Ting Tings,697
Judas Priest,331
Collective Soul,117
John Waite,319
The Isley Brothers,663
The Proclaimers,681
Lou Christie,387
Rick Derringer,523
Boots Randolph,79
Cracker,120
British Lions,86
George Jones,225
Bette Midler,51
Kris Kristofferson,352
Jerry Garcia,290
Paul Young,485
Led Zeppelin,363
Jesse Winchester,294
Lonnie Donegan,382
Black Sabbath,61
Y&T,761
Armin van Buuren,33
Niki Haris,461
Eels,176
Suzanne Vega,599
Pendulum,487
Shocking Blue,558
Roy Orbison,537
Elvin Bishop,181
Dave Brubeck,136
Sherbet,555
Delbert McClinton,152
Gong,233
Deep Forest,148
Split Enz,576
Johnny Winter,324
The Raconteurs,683
Stephen Stills,585
Starz,581
Paul Kelly,482
The Prodigy,682
The Script,687
Nick Lowe,458
Vanilla Fudge,744
Ace Frehley,3
Seether,551
Blessid Union Of Souls,64
Bob Luman,70
Stan Getz,579
The Electric Prunes,648
LaVern Baker,358
Talking Heads,610
Lynyrd Skynyrd,393
World Party,760
My Chemical Romance,445
Ray Stevens,518
Tanya Tucker,611
Larry John McNally,361
The Real Thing,685
Quiet Riot,505
Great White,239
Herman's Hermits,253
Jim Croce,297
Duran Duran,168
James Taylor,278
Twenty One Pilots,733
Stampeders,578
Dr. Hook,166
Kansas,335
Pet Shop Boys,490
Bonecrusher,76
Morrissey,437
Petula Clark,494
Robin George,531
Jerry Jeff Walker,291
Foghat,209
Megadeth,416
Francesca Battistelli,211
B.J. Thomas,38
The Waitresses,705
Lonnie Mack,383
Firefall,202
Crazy Horse,121
Howard Jones,257
Happy Mondays,246
Shawn Colvin,554
Bodeans,75
Average White Band,37
Loretta Lynn,384
James Brown,277
Traffic,727
Redbone,519
Herbie Mann,251
New England,454
The Williams Brothers,709
The Barron Knights,623
David Cassidy,141
Staind,577
Dave Edmunds,137
Orleans,469
Candlebox,95
The Osmonds,679
Jars Of Clay,285
Percy Mayfield,489
Spandau Ballet,574
Bananarama,41
Del Shannon,150
Black Oak Arkansas,60
DragonForce,167
Roachford,528
Living Colour,378
NRBQ,447
The Shadows Of Knight,691
Stanley Clarke,580
Aimee Mann,10
Joe Cocker,306
Stevie Nicks,591
Joan Baez,305
Jason Mraz,286
Trapt,729
Kelly Osbourne,338
Galactic,216
Little Richard,376
Eric Burdon,187
Marty Robbins,407
Kenny G,340
The Tubes,700
Dazz Band,147
Mary Chapin Carpenter,409
Flatt & Scruggs,205
Johnny Tillotson,323
Brenda Lee,83
J.B.O.,271
Paul Anka,480
The Range,684
Ed Sheeran,172
Iggy Pop,266
Gabel,215
Joey Dee & The Starliters,308
Andy Grammer,27
Goose Creek Symphony,234
Benny Mardones,49
Otis Clay,470
Anastacia,25
Basia,45
Cyndi Lauper,127
The Spencer Davis Group,694
Ten Years After,616
Beyond,52
Orchestral Manoeuvres In The Dark,468
The Moody Blues,675
Mormon Tabernacle Choir,436
The Black Crowes,625
Childish Gambino,106
Jimmy Page,301
John Lee Hooker,314
O.T.H.,464
Natasha Bedingfield,449
Ella Fitzgerald,180
Twins,734
Etta James,189
Roy Clark,536
Bobby Darin,73
Micky Dolenz,425
Matthew Sweet,413
