track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
2nklcPJ3YhYJfC2ibStXz91o2waYkqMs9q93uBOhrwAX,0.052,-10.933,0.0145,-0.171,0.0135,-0.408,0.0016
2nklcPJ3YhYJfC2ibStXz970hu323op2iBuGCuDZf2vz,0.046,-11.95,0.0294,-0.22,0.2834,-0.331,-0.0019
2nklcPJ3YhYJfC2ibStXz91ZANPDdiSYUQ9cugRoOetb,0.165,-18.687,0.1531,-0.269,-0.0346,-0.434,-0.0009
2nklcPJ3YhYJfC2ibStXz94z0PRznM5XOxH2wJaNf2Fb,0.161,-10.271,0.0425,-0.269,-0.0382,-0.431,0.0124
2nklcPJ3YhYJfC2ibStXz93ifsZuJFCAvhmkU9BlxvAb,0.147,-9.75,0.0193,-0.161,0.1534,-0.246,0.0369
2nklcPJ3YhYJfC2ibStXz90rXUxazqdzQBihx0HuxP3N,0.221,-5.25,0.0981,-0.172,-0.0358,-0.574,-0.0015
2nklcPJ3YhYJfC2ibStXz95WtXRCo7dJmAhg18vtyBao,0.131,-3.98,0.0199,-0.184,-0.032,-0.362,0.008
3ITGICyYHC13EkB7efdr8K6tvoKYC90r5dDZ2T0Lx0OC,0.131,-4.476,0.0214,-0.161,-0.0083,-0.491,-0.0008
3ITGICyYHC13EkB7efdr8K1Zdf2BzPzLX0cLf0w0J6Fl,0.092,-12.663,0.0125,-0.279,-0.0146,-0.298,0.0003
3ITGICyYHC13EkB7efdr8K2aM3KLM3dAegvS45DfkC3f,-0.408,0.345,0.0098,-0.166,-0.0385,-0.377,0.818
3ITGICyYHC13EkB7efdr8K4huDpr8X5ZUGWVV3A7IDfX,0.114,-12.191,0.0287,-0.197,-0.0215,-0.189,0.0081
3ITGICyYHC13EkB7efdr8K77meGysGUiB2BtQXWEzFPK,0.059,-10.621,0.0344,-0.221,-0.035,-0.525,0.0007
3ITGICyYHC13EkB7efdr8K4JokKmIbiyDvkXRJlXPd6z,0.221,-5.25,0.0981,-0.172,-0.0358,-0.574,-0.0015
3ITGICyYHC13EkB7efdr8K1q4Mij0p95VPDECvsNriL3,-0.101,-3.92,0.0148,-0.065,0.046,-0.478,0.0681
3ITGICyYHC13EkB7efdr8K2h3mSbMJ2gvD6i5AdBMjcp,0.195,-10.885,0.0412,-0.209,-0.0149,-0.295,0.0185
3ITGICyYHC13EkB7efdr8K3NFNsY0ygNg8V4JWCVzkuO,0.195,-10.885,0.0412,-0.209,-0.0149,-0.295,0.0185
3ITGICyYHC13EkB7efdr8K3J095OZ1yoYVsxeD4BnUqf,0.17,-3.223,0.0414,-0.165,-0.0165,-0.186,0.0077
3ITGICyYHC13EkB7efdr8K5MKqzTSr2laXT2Cm0W5m3z,0.114,-12.191,0.0287,-0.197,-0.0215,-0.189,0.0081
3ITGICyYHC13EkB7efdr8K2iNNq1ooxQyNAuQRsd6aeU,0.151,-7.32,0.0811,-0.236,-0.0347,-0.387,0.0362
3ITGICyYHC13EkB7efdr8K0SLk2ymKTKDN2O9UbdG7IO,0.206,-8.648,0.0182,-0.263,-0.0381,-0.471,0.0824
3ITGICyYHC13EkB7efdr8K2dkO2xnnt8f21HnOOoQ11r,0.104,-14.668,0.0234,-0.251,0.7074,-0.367,0.259
3ITGICyYHC13EkB7efdr8K2pn4dBKnQemqTcJJw1u2aR,0.15,-12.769,0.049,-0.225,0.0023,-0.351,0.0891
3ITGICyYHC13EkB7efdr8K3tvJVlOfV31t478p1n6FZk,-0.263,-0.146,0.0047,-0.1,-0.0386,-0.377,0.77
3ITGICyYHC13EkB7efdr8K1o2waYkqMs9q93uBOhrwAX,0.052,-10.933,0.0145,-0.171,0.0135,-0.408,0.0016
3ITGICyYHC13EkB7efdr8K70hu323op2iBuGCuDZf2vz,0.046,-11.95,0.0294,-0.22,0.2834,-0.331,-0.0019
3ITGICyYHC13EkB7efdr8K1ZANPDdiSYUQ9cugRoOetb,0.165,-18.687,0.1531,-0.269,-0.0346,-0.434,-0.0009
