track_key,difference_energy,difference_tempo,difference_speechiness,difference_dance,difference_instrumentalness,difference_valence,difference_acousticness
2gg2kPH4HtIMDAzLEdIyOj3tymjsUwKeXASq3UKe1g6x,0.062,0.48,0.0616,0.091,-0.0236,-0.165,0.0165
2gg2kPH4HtIMDAzLEdIyOj3l7z1uJkeFLeHjOk2l8TsJ,0.071,-0.163,0.0081,0.02,-0.026,-0.125,0.0292
2gg2kPH4HtIMDAzLEdIyOj0tdt0axNHwIgbVDdD4Q1M0,-0.034,3.191,0.0274,-0.001,-0.0269,-0.221,0.1738
2gg2kPH4HtIMDAzLEdIyOj29V2GKN2lP7RU2NJWa7eH2,-0.069,-3.173,-0.0004,0.154,-0.0264,-0.215,0.0314
2gg2kPH4HtIMDAzLEdIyOj0jMrx3CntJHHYa4cA61kCX,0.051,0.526,0.0028,0.052,0.0108,-0.196,0.0308
2gg2kPH4HtIMDAzLEdIyOj6jBsZXzMRAiZM5iz9KneWX,0.011,6.186,0.0197,0.014,-0.0272,-0.255,0.0032
2gg2kPH4HtIMDAzLEdIyOj3OHXWtm81VompS1u1pZVqJ,0.049,-4.334,0.0087,0.09,-0.0261,-0.09,0.0362
2gg2kPH4HtIMDAzLEdIyOj4VXFAAh1qGUkc3bVOFKpQQ,-0.001,6.964,-0.0122,0.125,0.0604,-0.039,0.002
2BkHprGEoe7eg3SPe2AVu20YWBjwLvFcRtXRUbtPqep7,-0.018,-6.087,-0.0341,0.083,-0.19,0.118,0.2523
2BkHprGEoe7eg3SPe2AVu25EMtP6FmP8zuxfo0IFCTvo,-0.105,-5.01,-0.0239,0.031,-0.6031,0.249,0.7273
2BkHprGEoe7eg3SPe2AVu25Eiv3qpfDJnRWVxNO2vJz3,0.02,-5.846,-0.0197,0.153,-0.6316,0.102,0.2313
5ryGpLshVg4CFM42WEDzcd5t9cUodALGEuaOBwhknTJV,0.29,20.534,0.0093,-0.171,0.0001,-0.079,0.038
79KRVNCKAY5BLyFL4f0kFB2F7hwUxVW3Y7kLvsCgemHc,0.039,3.853,-0.0023,-0.065,0.0387,-0.165,0.235
79KRVNCKAY5BLyFL4f0kFB4s4OaQMYciMUBgXxoo9ucq,0.16,10.38,0.0011,-0.1,0.463,-0.392,0.259
79KRVNCKAY5BLyFL4f0kFB2TxrfnArM8VFKBh65t2H4F,0.233,6.751,0.0151,-0.135,0.0021,-0.267,0.262
2bCXf8oT1aY9ZzYVUq1lfa42nwso4aWNO4oe6OjjuuU5,-0.052,1.901,-0.0078,-0.024,-0.044,-0.203,-0.6322
4UkejguW7NyNfcWl2r4fqV6cuRCBpuWn0iwZW6uskZNV,-0.284,-5.702,0.0374,-0.249,4.56e-06,-0.167,0.339
4UkejguW7NyNfcWl2r4fqV5wFn0e8W7UD5oqsxXm9HTn,-0.139,-0.383,0.0047,-0.219,0.0005,-0.034,0.605
4UkejguW7NyNfcWl2r4fqV4xZIIU7SjOV0iS2EpoLFT1,-0.227,-0.029,0.0138,-0.109,0.0198,-0.243,0.386
4UkejguW7NyNfcWl2r4fqV16zkCaEnVc0PNgnps8bPy7,-0.048,-2.322,0.0125,-0.039,-5.74e-06,-0.073,0.162
4UkejguW7NyNfcWl2r4fqV1Vl4flNgESCYdnhOF0YcBa,-0.187,-3.801,0.0096,-0.1,-1.34e-06,-0.083,0.24
4UkejguW7NyNfcWl2r4fqV21vZBHxUOpG2jC5KXquUU6,-0.13,-2.213,0.0242,-0.107,0.0001,-0.16,0.221
4UkejguW7NyNfcWl2r4fqV3S4vXnQ2yclNFqs6ddOHV5,-0.079,1.123,0.0193,-0.068,0.0003,-0.145,0.035
4UkejguW7NyNfcWl2r4fqV4FwFWJqzoaISKcJ2JGMOaC,-0.018,2.311,0.0773,-0.217,7.76e-06,-0.261,-0.0856
4UkejguW7NyNfcWl2r4fqV2sM7YWefLIJjlhEOBYlXfs,-0.072,-0.542,-0.0044,-0.081,0.0017,-0.131,-0.108
4UkejguW7NyNfcWl2r4fqV385e5nooCmbqUkYLgSbRx1,-0.077,2.038,0.0238,-0.079,0.0004,-0.134,0.019
4UkejguW7NyNfcWl2r4fqV3huudlYGPux0nOCoGss3yB,0.029,-2.457,0.0323,-0.184,6.26e-06,-0.227,0.201
4UkejguW7NyNfcWl2r4fqV0KmzxihVtAMDQQkrzpambe,-0.047,-2.322,0.0134,-0.039,-5.74e-06,-0.072,0.162
4UkejguW7NyNfcWl2r4fqV3jqwhhV5Rs9ELipUF9UXTz,-0.256,4.124,0.0094,-0.023,0.0001,-0.114,0.285
4UkejguW7NyNfcWl2r4fqV5vRPqLSW6MhHtP7GEe622m,-0.089,-1.023,0.0059,-0.139,-2.09e-06,-0.068,0.245
4UkejguW7NyNfcWl2r4fqV1MsakEwKaXl1IDysX1U9gE,-0.187,-2.845,0.0068,-0.105,-3.05e-06,-0.076,0.228
7MfQyndzk9R3pRRl5eGnNV6cuRCBpuWn0iwZW6uskZNV,-0.284,-5.702,0.0374,-0.249,4.56e-06,-0.167,0.339
7MfQyndzk9R3pRRl5eGnNV5wFn0e8W7UD5oqsxXm9HTn,-0.139,-0.383,0.0047,-0.219,0.0005,-0.034,0.605
7MfQyndzk9R3pRRl5eGnNV4xZIIU7SjOV0iS2EpoLFT1,-0.227,-0.029,0.0138,-0.109,0.0198,-0.243,0.386
7MfQyndzk9R3pRRl5eGnNV16zkCaEnVc0PNgnps8bPy7,-0.048,-2.322,0.0125,-0.039,-5.74e-06,-0.073,0.162
7MfQyndzk9R3pRRl5eGnNV1Vl4flNgESCYdnhOF0YcBa,-0.187,-3.801,0.0096,-0.1,-1.34e-06,-0.083,0.24
7MfQyndzk9R3pRRl5eGnNV21vZBHxUOpG2jC5KXquUU6,-0.13,-2.213,0.0242,-0.107,0.0001,-0.16,0.221
7MfQyndzk9R3pRRl5eGnNV3S4vXnQ2yclNFqs6ddOHV5,-0.079,1.123,0.0193,-0.068,0.0003,-0.145,0.035
7MfQyndzk9R3pRRl5eGnNV4FwFWJqzoaISKcJ2JGMOaC,-0.018,2.311,0.0773,-0.217,7.76e-06,-0.261,-0.0856
7MfQyndzk9R3pRRl5eGnNV2sM7YWefLIJjlhEOBYlXfs,-0.072,-0.542,-0.0044,-0.081,0.0017,-0.131,-0.108
7MfQyndzk9R3pRRl5eGnNV385e5nooCmbqUkYLgSbRx1,-0.077,2.038,0.0238,-0.079,0.0004,-0.134,0.019
7MfQyndzk9R3pRRl5eGnNV3huudlYGPux0nOCoGss3yB,0.029,-2.457,0.0323,-0.184,6.26e-06,-0.227,0.201
7MfQyndzk9R3pRRl5eGnNV0KmzxihVtAMDQQkrzpambe,-0.047,-2.322,0.0134,-0.039,-5.74e-06,-0.072,0.162
7MfQyndzk9R3pRRl5eGnNV3jqwhhV5Rs9ELipUF9UXTz,-0.256,4.124,0.0094,-0.023,0.0001,-0.114,0.285
7MfQyndzk9R3pRRl5eGnNV5vRPqLSW6MhHtP7GEe622m,-0.089,-1.023,0.0059,-0.139,-2.09e-06,-0.068,0.245
7MfQyndzk9R3pRRl5eGnNV1MsakEwKaXl1IDysX1U9gE,-0.187,-2.845,0.0068,-0.105,-3.05e-06,-0.076,0.228
0T1Q3N0FH3IHecwBsaWtTV45zHbt1fMBoRLuLwtz7o99,-0.101,-9.381,-0.3707,-0.29,4.99e-06,-0.364,-0.095
2HJFvUWKTSB8JUCLTdpFrR45zHbt1fMBoRLuLwtz7o99,0.125,-17.692,-0.7337,-0.166,4.99e-06,-0.13,-0.164
5dVtj4IAnYSrI3jVfIFIaC5ggKlQTHE31l5MufH1lPp3,0.051,4.326,0.0155,-0.146,0.0007,-0.109,0.402
5dVtj4IAnYSrI3jVfIFIaC3pEusMfuvd67YLb8454wZo,0.029,-1.932,0.0045,-0.058,0.0,-0.155,0.377
2fjkHcdf2ZJNrmHSe4LCtH7LFRMm4ASdp1SNk3Mt1nQQ,0.23,-4.114,0.0017,0.026,-0.064,0.072,-0.182
2fjkHcdf2ZJNrmHSe4LCtH5gHEd60IymWEuoRYrkxJEQ,0.124,-1.329,0.0004,0.076,-0.033,0.068,-0.045
3yK7JvDME8TSsjrFyFzWTz7LFRMm4ASdp1SNk3Mt1nQQ,0.134,-5.757,-0.0026,-0.051,0.0431,0.012,0.484
3yK7JvDME8TSsjrFyFzWTz5gHEd60IymWEuoRYrkxJEQ,0.028,-2.972,-0.0039,-0.001,0.0741,0.008,0.621
2ON1mRDRdSSrFBdlFOUYTu6kVG1ywxURcdiYPi9Y04Ti,0.135,16.832,-0.0308,-0.255,-1.19e-06,-0.123,0.2804
2ON1mRDRdSSrFBdlFOUYTu21Li5wHPi6hZt26OTl0jUF,0.158,13.721,-0.0619,-0.195,0.001,-0.295,0.7254
2ON1mRDRdSSrFBdlFOUYTu58Flkso48Rv3MXD0fVR8rj,0.028,-69.237,-0.0681,-0.106,0.0002,-0.219,0.7274
6YK2tAEYnHgYkkC6TSziqM7gKFEjoNVBzlybIw4C8SDX,-0.06,-6.769,0.292,0.144,-0.0001,-0.202,-0.554
6YK2tAEYnHgYkkC6TSziqM6UGVrlVVS0uJZMtobFrlo5,-0.063,84.481,0.33,0.073,-0.0001,-0.172,-0.537
1yjr0GeoqGPejLg5P9g8Qe7gKFEjoNVBzlybIw4C8SDX,-0.057,-110.331,0.256,0.178,-0.0001,-0.194,-0.523
1yjr0GeoqGPejLg5P9g8Qe6UGVrlVVS0uJZMtobFrlo5,-0.06,-19.081,0.294,0.107,-0.0001,-0.164,-0.506
6fLDBnJDWsXwtFSxTC0I9N7gKFEjoNVBzlybIw4C8SDX,-0.055,-14.442,0.325,-0.001,-0.0002,-0.229,-0.54
6fLDBnJDWsXwtFSxTC0I9N6UGVrlVVS0uJZMtobFrlo5,-0.058,76.808,0.363,-0.072,-0.0002,-0.199,-0.523
2Ldy0OObKI2jwemvHiJmBL46bJR7rC3SAQLoUZgUTOLg,-0.056,1.802,-0.0631,0.09,0.3863,0.438,0.574
2Ldy0OObKI2jwemvHiJmBL5O2I5e4d50xYKiiAdnTOmo,-0.033,79.114,-0.0461,-0.021,-0.0022,0.319,-0.2623
6O1eoFDJBkwZ1VNcTN3Cay1zgOuflKpOAPTu9Ga6VJ2Z,0.5673,12.026,-0.097,0.024,0.0524,0.095,-0.639
4delgtiKX7L3nsbC0exhCS73D7bShgeY1TnJdNrBzytq,0.093,5.042,0.0232,-0.075,6.1e-07,-0.144,0.154
4delgtiKX7L3nsbC0exhCS4jDfyab2DqLYQjxRCK02Iz,0.105,12.959,0.0714,-0.143,0.0007,-0.136,-0.0615
4delgtiKX7L3nsbC0exhCS21lvjmsgPTb7O28g6yp2EC,0.016,8.049,0.0086,-0.143,0.0,-0.074,-0.1035
4delgtiKX7L3nsbC0exhCS2r2dS1QGmoNE4VATsqy0UI,-0.13,10.985,0.0142,-0.048,0.0005,0.093,0.119
4delgtiKX7L3nsbC0exhCS3frKZvlundfV8phpyRp1hk,-0.236,7.226,0.0159,-0.101,0.0018,-0.205,-0.0954
4delgtiKX7L3nsbC0exhCS7d1GcRyU4oSkqdJxEoLAbb,0.064,6.063,0.0441,-0.166,0.0007,-0.177,0.054
0pVKmDcMdrbiiGqsztIcL33VHMXANvBDFaqzpmqO5ybi,0.009,2.387,0.0384,-0.132,0.284,-0.403,-0.0046
0pVKmDcMdrbiiGqsztIcL31uWVFjztXQCNeQ2C34ldPq,0.001,2.132,-0.0117,-0.119,0.456,-0.138,0.0864
0pVKmDcMdrbiiGqsztIcL31TMLSPYiVdeJ7FKT9hgSFW,-0.035,1.37,0.0107,-0.074,-0.155,-0.391,-0.0046
4hF1WMGxLitngxwyTjhAuZ1msFE0zvWc2UYbE4FxD34o,0.206,35.716,-0.0115,-0.123,0.002,-0.163,-0.374
3g30fnwwdYGQNAn0LKy7d85CWr8jNHwamLkP5KUi3Duv,0.11,4.066,-0.0203,-0.138,0.2311,0.218,0.151
3g30fnwwdYGQNAn0LKy7d815CLBWAL6PgRTIa58MH3aV,0.11,3.368,-0.028,-0.144,0.6351,0.088,0.721
3g30fnwwdYGQNAn0LKy7d831EdfIbDnergbYH9lHakMI,0.099,6.123,-0.0307,-0.139,0.3771,0.027,0.532
3g30fnwwdYGQNAn0LKy7d879R1hwDXkkXYJowUMJt9J5,0.139,11.461,-0.0276,-0.095,0.4781,0.118,0.306
3g30fnwwdYGQNAn0LKy7d86wXnWzPzPoLv3eVNtJGOhp,0.369,5.377,-0.0166,-0.206,-0.0143,-0.139,-0.14
3g30fnwwdYGQNAn0LKy7d87bWpT9JxHqRnXTdSX6uHt0,0.189,12.289,-0.0241,-0.125,0.7261,0.076,0.482
3NMimUU9EZ5XkA1cgX5htm1pYqqwrVREdgx1LQYsqcZL,0.255,39.479,-0.0169,0.013,0.14,0.282,-0.238
3NMimUU9EZ5XkA1cgX5htm3kumAfNfVYXornoGEFJrLk,0.251,41.245,-0.0115,0.06,-0.3253,0.08,-0.323
3NMimUU9EZ5XkA1cgX5htm6bHWxpI5mxkcQy4Uwfapxj,0.221,-0.785,-0.0019,0.091,-0.3236,0.012,-0.095
3NMimUU9EZ5XkA1cgX5htm1XQWLcmBAfT5cTAwphfQRm,0.244,-6.54,0.0075,-0.009,-0.266,0.134,-0.058
3NMimUU9EZ5XkA1cgX5htm08gDjJcDi6Tlpylwh2e0pM,0.467,31.743,0.0086,0.016,0.309,0.118,-0.871
3NMimUU9EZ5XkA1cgX5htm3Y31LvEqdaFpOs6wExzo7a,0.14,0.796,0.3043,0.118,-0.402,0.099,-0.241
5C1kiyf19ASRaACu8ZSKvO5MVNL3ufP5YtaH71gX5d2F,0.098,5.732,0.0316,-0.176,0.255,-0.204,0.0198
5C1kiyf19ASRaACu8ZSKvO3khgtJ8I4ImnyAsRiMauoP,0.218,-33.177,0.014,-0.28,0.0002,-0.062,-0.0193
5C1kiyf19ASRaACu8ZSKvO1m50gkzAchZIyeANebeQV4,0.078,-1.035,0.0387,-0.157,0.0033,-0.191,-0.0214
59eoNUMMrRvJQJrdUVULJF4D8xhI3WRNHQMCdmrsVsUU,0.225,20.965,0.0056,0.061,0.553,0.04,0.21
59eoNUMMrRvJQJrdUVULJF32iSch5jODhdXSxqLWNwCC,0.219,12.12,0.0232,0.018,0.613,0.043,0.041
59eoNUMMrRvJQJrdUVULJF7kIhPy5HQ7qOFtsZrAEMAM,0.2,18.08,0.0093,0.088,-0.0343,-0.113,-0.021
59eoNUMMrRvJQJrdUVULJF4sdbddAl3DwxgwvSlTobSj,0.13,24.268,0.0092,0.034,0.713,-0.014,0.1
59eoNUMMrRvJQJrdUVULJF1sRh2uDSAnGgSc6rSovfGt,0.342,11.069,0.0088,0.084,-0.008,-0.04,-0.4329
59eoNUMMrRvJQJrdUVULJF03zhjlPQdQNMshftuqEzXU,0.312,11.373,0.0087,-0.016,0.038,-0.026,0.174
59eoNUMMrRvJQJrdUVULJF5AguKz118LEVy87BGu417E,-0.001,18.385,0.0005,-0.016,0.539,-0.064,-0.056
59eoNUMMrRvJQJrdUVULJF70CVKgulWHJnCE2SqE8lfl,0.275,14.698,0.0103,0.069,0.379,-0.242,-0.342
59eoNUMMrRvJQJrdUVULJF4Offg88USZsKaEOPLs0oPx,0.285,10.196,0.009,0.068,-0.0129,-0.221,-0.4354
4VWT4NBBYz1cVt84jyaBmm5VCNUvYryK6pQfeq9poLoK,0.066,30.851,-0.0076,0.019,0.074,0.084,-0.106
4VWT4NBBYz1cVt84jyaBmm0VFn5XHLnfmvswUMwwcYaQ,-0.048,5.151,0.1351,0.084,-0.6298,-0.027,-0.513
4VWT4NBBYz1cVt84jyaBmm17TdSyfYs1GhbWOQJEUCbH,0.044,7.484,0.0711,0.082,0.244,0.015,-0.5874
4VWT4NBBYz1cVt84jyaBmm3FrvRT9vo4T43N2Y4j9HP9,-0.04,5.505,-0.02,-0.036,-0.6927,0.119,-0.633
4VWT4NBBYz1cVt84jyaBmm1NU4246nN1hwi8zZygl8UW,0.008,8.362,0.0521,0.12,-0.055,0.009,-0.277
4VWT4NBBYz1cVt84jyaBmm6x1QfCtAgjJkRSqXpp3A3p,-0.036,3.554,0.0044,0.023,-0.331,0.166,-0.6198
4VWT4NBBYz1cVt84jyaBmm22IUimWpJ1Z3BTYco16Fdn,0.048,3.994,0.0039,0.015,0.174,-0.095,-0.279
4bjdHYXGi6DwTYMKs7YXPb5ZhLLf2UfoqzeN6uKLOhKq,-0.31,0.475,-0.0631,-0.082,0.006,-0.405,0.474
4bjdHYXGi6DwTYMKs7YXPb4Ro5fCMwohgMqQrRsDH23G,-0.172,4.945,-0.0685,-0.154,0.3495,-0.352,0.486
6cAP4aefOH4dYOpdrldV2f3jk9bPJmjTpwlJaT1zFfQk,0.066,2.218,0.015,-0.008,0.26,0.071,0.0697
6cAP4aefOH4dYOpdrldV2f3QwkCPm1WB2iSTGezt0Wl2,0.025,-1.937,0.0018,-0.003,0.005,-0.129,0.3119
6cAP4aefOH4dYOpdrldV2f6YGhwgw69U3anubYiKzMl4,-0.258,-2.981,0.0128,0.312,0.443,0.103,0.5829
6cAP4aefOH4dYOpdrldV2f4WQHQEwcGFiNPoEwo6U6bQ,-0.186,2.319,-0.0032,0.078,-0.2736,-0.092,0.0929
6cAP4aefOH4dYOpdrldV2f4s7kwFBZlnDqzVbLpC8a8V,0.048,82.245,0.0072,-0.049,0.509,-0.028,0.5619
6cAP4aefOH4dYOpdrldV2f01TmNjQvqdYslXlGdVKS9F,-0.105,-3.561,-0.0006,0.149,-0.084,0.177,0.6799
6cAP4aefOH4dYOpdrldV2f1OCiNgbJ3z617ghq37nRwi,-0.075,0.526,-0.0023,0.008,-0.041,-0.167,0.3459
7pZvWuaxL2In8jeZ42zIho3KTEweWUnlvgQ5EO96EZmx,-0.125,2.217,-0.0384,-0.085,0.0009,-0.262,0.0454
7aKLArV9JoulvIwmRJ000P5yRhBK4TfdKs1USnevfPtv,-0.009,-10.149,-0.0193,0.009,-0.022,0.241,0.2011
7aKLArV9JoulvIwmRJ000P1KwUGkW2BjKZ7C0Savc4I8,-0.483,9.557,-0.0128,0.274,0.455,0.32,0.7691
7aKLArV9JoulvIwmRJ000P71MYYcxnRySzSlEPePCDJF,-0.148,4.069,-0.0116,-0.138,0.729,0.246,0.6671
7aKLArV9JoulvIwmRJ000P7KtsQ6Yab8ge3x8lubVPgS,0.002,3.573,-0.0016,-0.105,0.389,0.086,0.3121
7aKLArV9JoulvIwmRJ000P0acDd61aDGiw7GTTC9Jv8A,-0.076,-10.601,-0.0031,-0.132,0.102,0.28,0.3281
7aKLArV9JoulvIwmRJ000P3Xpo9NNjuLqCnwhoMdn6WI,-0.04,-9.044,-0.0267,0.105,0.509,0.433,0.4261
7aKLArV9JoulvIwmRJ000P1dl5jA8V2rJKOM5au4wCcT,-0.064,-1.489,-0.0207,-0.079,0.361,0.346,0.5471
7fDIjm8rPH5BpCw1hzkcXX2VTwrOG3ai6Qrz3h5KjZD7,0.011,6.052,0.054,-0.225,0.0,-0.35,-0.1501
7fDIjm8rPH5BpCw1hzkcXX7eZ9mone1KfnzAc9Sxw1Br,0.011,6.051,0.054,-0.225,0.0,-0.35,-0.1501
3DjbLkq4cpvvw5aX6KdItn7iKQb5nd3SsECwr9QdF5df,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3DjbLkq4cpvvw5aX6KdItn2sxuk3JuzeH1gDXUaGqE29,-0.033,-3.563,-0.0484,-0.094,0.0012,0.027,-0.011
20YUih3OCUuwxNJk6tRjmJ7iKQb5nd3SsECwr9QdF5df,0.029,-0.417,-0.0013,0.009,0.0,0.042,-0.0115
20YUih3OCUuwxNJk6tRjmJ2sxuk3JuzeH1gDXUaGqE29,-0.004,-3.98,-0.0497,-0.085,0.0013,0.069,-0.0225
6Pj5fb3T9pAMaM9BQ1uoFj7iKQb5nd3SsECwr9QdF5df,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6Pj5fb3T9pAMaM9BQ1uoFj2sxuk3JuzeH1gDXUaGqE29,-0.033,-3.563,-0.0484,-0.094,0.0012,0.027,-0.011
2NpTACp7syqPqvc7JkQKu17iKQb5nd3SsECwr9QdF5df,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2NpTACp7syqPqvc7JkQKu12sxuk3JuzeH1gDXUaGqE29,-0.033,-3.563,-0.0484,-0.094,0.0012,0.027,-0.011
4DTvnqU2ZDdZeDA9BLhfWP38gnUXD9fVy5lCBgRvELpc,-0.044,-35.435,0.0031,-0.019,0.0,-0.114,-0.264
568tK8PPNZztSLqGsVqVaU38gnUXD9fVy5lCBgRvELpc,0.014,2.465,-0.0103,-0.044,0.0,0.144,-0.236
6XOTK2aW5gnRZDRefdqipY158HkkFddKcp5JyQRXdcyA,-0.064,-2.013,-0.014,-0.31,0.369,-0.128,0.523
6XOTK2aW5gnRZDRefdqipY5KadqkkAtHbIuvkPrxdzka,0.069,4.268,-0.014,-0.285,-0.043,-0.103,-0.1986
6XOTK2aW5gnRZDRefdqipY5NQkzcrLfe6uA1LFo4YsOz,-0.076,15.584,-0.0074,-0.307,0.11,-0.121,0.568
6XOTK2aW5gnRZDRefdqipY0uIHYO7e0IndNwOayTmvJX,0.083,18.703,-0.0148,-0.34,-0.1863,-0.145,-0.2031
6XOTK2aW5gnRZDRefdqipY2o7dGLrgcuoqpdd0hIA4z1,-0.194,8.212,-0.0047,-0.285,-0.2126,-0.358,0.285
6XOTK2aW5gnRZDRefdqipY3NMXEY0SjYK7QOT5pT4CCW,0.106,7.399,-0.0125,-0.318,-0.1872,-0.045,-0.1978
6XOTK2aW5gnRZDRefdqipY1OJNo9CxrfFzc6CnigV68Y,0.153,3.03,-0.0054,-0.261,-0.1901,-0.006,-0.199
6XOTK2aW5gnRZDRefdqipY67N51IF6a3ugYnC5FHJuXy,0.082,16.944,-0.0022,-0.276,0.056,-0.048,0.268
60gM2zBeWZoqAnbleSfkQo1Ajyky3hDWgiuIF8jXRmbv,-0.581,-20.025,-0.0157,0.195,-0.0007,-0.059,0.579
60gM2zBeWZoqAnbleSfkQo6z6PaQwXGw8up6lbR6P1br,-0.048,-11.121,-0.029,0.166,0.0002,0.271,-0.0992
60gM2zBeWZoqAnbleSfkQo3737Kz8m6QPnKO14FLVYVN,-0.255,-12.802,-0.0274,0.089,0.2151,0.212,0.683
60gM2zBeWZoqAnbleSfkQo0g6DbubkWPoWOb0uEnfdJZ,-0.716,-19.646,0.0444,0.251,0.0248,-0.189,0.428
31akCREzBZ4oV68AnXVk952nfY3aKCcHTDGscZ5NufFl,-0.018,-83.85,-0.0123,0.1,0.1193,-0.377,0.588
31akCREzBZ4oV68AnXVk9578two87Hs4Yl27hF7yjPBe,0.135,21.624,0.1702,-0.068,0.6023,-0.321,0.584
0lQLxZnKUs4Q9pTqgvtA6N4zTYbFtzBVg0JSExNMkPhJ,0.14,1.934,0.0267,-0.067,0.0351,-0.205,0.5236
0lQLxZnKUs4Q9pTqgvtA6N67V0oMh36rnXyc2xTXF5Qy,0.092,-3.4,0.0114,-0.081,0.0304,-0.308,0.6776
0lQLxZnKUs4Q9pTqgvtA6N31vRObwVY7De1zlmrkGpoS,0.115,2.766,0.003,0.046,0.1016,0.024,0.6836
0lQLxZnKUs4Q9pTqgvtA6N0cwSChoWJ8KqW8n8Bipqee,0.182,2.071,0.0067,-0.076,0.0094,0.008,0.4526
0lQLxZnKUs4Q9pTqgvtA6N0spcv0DpwT6uo9O3T0eDPF,0.18,-0.979,0.0169,-0.125,0.0031,-0.128,0.6716
0lQLxZnKUs4Q9pTqgvtA6N1GxBBAWqVqEAMDc1q52rUa,0.043,-3.599,0.0008,-0.053,0.0822,0.0,0.8316
0lQLxZnKUs4Q9pTqgvtA6N5QXwgQWOZ17oOdQemtFluj,0.125,5.443,0.0522,0.016,0.4036,-0.191,0.3226
0lQLxZnKUs4Q9pTqgvtA6N0uGN86YhVy0JJ2zUnodfYq,0.174,-5.492,0.0043,-0.052,0.0133,0.059,0.5416
0lQLxZnKUs4Q9pTqgvtA6N4wdqLZnTopYWlqYBohCnX9,0.156,3.919,0.0111,0.014,0.5386,-0.038,0.6236
0lQLxZnKUs4Q9pTqgvtA6N31m6c6y1SjQvd6o81ufHeB,0.103,-0.624,0.0252,0.013,0.0051,-0.028,0.1376
0lQLxZnKUs4Q9pTqgvtA6N4DVcZ2FNx1CziUK7A0vfR1,0.17,-0.527,0.0146,-0.027,0.0838,-0.168,0.2376
0lQLxZnKUs4Q9pTqgvtA6N6tmUdTTU11oqRQ9Aw5LCDX,0.168,1.878,0.0139,0.039,0.0167,0.177,0.4896
0lQLxZnKUs4Q9pTqgvtA6N3L7c5JAn68A4FyZypakSaE,0.014,0.112,-0.0045,-0.023,0.0591,-0.111,0.6306
3tfIsMVgZcnNiqJ8Yy2jf503SSzWWKYqtdt8t0PPcnIN,0.118,-41.959,0.0274,-0.233,0.5447,-0.101,0.064
3tfIsMVgZcnNiqJ8Yy2jf51YvWhe267QWTUZkcRaZqeE,0.135,-36.799,0.0641,-0.221,0.0567,-0.508,-0.287
3tfIsMVgZcnNiqJ8Yy2jf55Fss2NQNRCDYdls6IbogWR,0.166,-36.536,0.0479,-0.247,0.0217,-0.393,-0.35
3tfIsMVgZcnNiqJ8Yy2jf52QHTA0sGqNfiqVdA5JVMit,0.135,-42.014,0.0472,-0.155,-0.0811,-0.355,-0.6937
3tfIsMVgZcnNiqJ8Yy2jf53YK0T73gI48zFXiBwOJKw3,0.171,-40.618,0.0571,-0.245,-0.0573,-0.448,-0.6928
3bcgaAtQ13dIBYUI4RcGry03SSzWWKYqtdt8t0PPcnIN,0.008,-7.604,-0.007,-0.025,0.5707,0.089,0.444
3bcgaAtQ13dIBYUI4RcGry1YvWhe267QWTUZkcRaZqeE,0.025,-2.444,0.0297,-0.013,0.0827,-0.318,0.093
3bcgaAtQ13dIBYUI4RcGry5Fss2NQNRCDYdls6IbogWR,0.056,-2.181,0.0135,-0.039,0.0477,-0.203,0.03
3bcgaAtQ13dIBYUI4RcGry2QHTA0sGqNfiqVdA5JVMit,0.025,-7.659,0.0128,0.053,-0.0551,-0.165,-0.3137
3bcgaAtQ13dIBYUI4RcGry3YK0T73gI48zFXiBwOJKw3,0.061,-6.263,0.0227,-0.037,-0.0313,-0.258,-0.3128
4mPfc90YilNwxtPe63MzvG58yhk5nI2mrTLGIUbpJvO7,0.173,1.934,0.0211,-0.051,-0.0081,-0.202,0.6359
4mPfc90YilNwxtPe63MzvG052qCyFlNDmSsbYB4apQ3H,0.221,-0.765,0.0144,-0.062,0.3845,-0.153,-0.0308
4mPfc90YilNwxtPe63MzvG1oHcr3hoqP66hkNcWPilfu,0.182,-0.441,0.0216,-0.09,0.4225,-0.261,-0.02
760420tYNmNjFgi8bWvbop7BBg6ZpwfB1KVKEQehUbGl,0.028,3.141,-0.0496,-0.188,4.29e-06,-0.287,-0.3499
36ZS04J2JbV1SH4LhbPWyI3CzUBVgb1kUFtf4hJ9zeI6,0.16,-3.852,0.0083,-0.254,0.0596,-0.048,-0.356
36ZS04J2JbV1SH4LhbPWyI591ZA9ZL1V0SDlHHx4HTO2,0.209,-1.171,0.0729,-0.301,0.0126,-0.013,-0.449
36ZS04J2JbV1SH4LhbPWyI3eJvF9rDDk9Pc7YASs6dQP,-0.107,-2.843,-0.0032,-0.152,0.0003,-0.215,-0.291
36ZS04J2JbV1SH4LhbPWyI6EjgRNXuF7ZSRdWMEHmpMQ,0.037,-6.754,-0.0082,-0.085,0.0019,-0.008,-0.284
36ZS04J2JbV1SH4LhbPWyI0K266lNiB3JhWdRv25ArvR,-0.076,-2.885,-0.0014,-0.149,0.2492,-0.216,-0.3971
